FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
1,BOM-CCU,BOM,CCU,2023-09-08,288,B737,288,76,436004.13,1823475.84
2,DEL-SIN,DEL,SIN,2023-02-02,90,A320,155,79,358461.47,149501.07
3,HYD-JFK,HYD,JFK,2024-03-05,285,B777,250,121,806587.6,210073.08
4,BLR-SIN,BLR,SIN,2023-12-15,344,B737,155,147,493355.79,213128.76
5,DEL-DXB,DEL,DXB,2023-12-19,678,A380,111,96,404733.52,174705.37
6,DXB-DEL,DXB,DEL,2023-10-28,703,ATR72,192,99,587268.28,208149.35
7,HYD-CCU,HYD,CCU,2023-03-23,298,A320,197,121,505038.53,1176382.48
8,BLR-DXB,BLR,DXB,2023-12-30,274,A380,279,224,1240119.48,1276874.81
9,BLR-JFK,BLR,JFK,2023-09-08,227,B777,197,119,943272.95,939295.71
10,LHR-HYD,LHR,HYD,2023-11-29,846,A320,158,155,189828.76,435417.81
11,MAA-DEL,MAA,DEL,2023-08-05,640,A380,154,133,597784.3,967895.48
12,SIN-BLR,SIN,BLR,2023-09-29,202,B737,290,193,921158.32,1575130.83
13,DXB-SIN,DXB,SIN,2024-01-06,284,B737,230,176,288000.4,251187.95
14,DEL-HYD,DEL,HYD,2023-06-13,871,B777,252,66,243762.5,1132616.08
15,SIN-JFK,SIN,JFK,2023-09-15,626,A320,274,234,421635.76,1722278.62
16,MAA-DXB,MAA,DXB,2023-04-25,360,B777,140,108,110453.46,738775.91
17,MAA-JFK,MAA,JFK,2023-07-02,579,A320,260,126,868352.37,1026352.57
18,HYD-BLR,HYD,BLR,2024-01-18,840,B737,238,185,1374449.08,1074202.63
19,SIN-BOM,SIN,BOM,2023-04-25,431,A380,161,57,153107.77,695135.7
20,DEL-BLR,DEL,BLR,2024-05-12,895,A320,294,186,1183116.43,469231.96
21,SIN-JFK,SIN,JFK,2023-06-19,331,ATR72,255,158,1224585.37,1672612.23
22,HYD-CCU,HYD,CCU,2024-02-13,747,A380,212,182,757193.34,495447.14
23,DEL-DXB,DEL,DXB,2023-01-22,662,ATR72,158,125,317690.21,195944.83
24,BOM-MAA,BOM,MAA,2023-03-11,92,A380,118,115,306593.73,583824.14
25,HYD-JFK,HYD,JFK,2023-05-16,800,ATR72,247,171,461867.7,921910.76
26,DXB-HYD,DXB,HYD,2023-04-07,159,B777,190,158,612679.12,1169599.69
27,BOM-BLR,BOM,BLR,2023-03-04,472,A380,127,81,189631.57,523871.4
28,BLR-SIN,BLR,SIN,2023-07-07,345,B777,163,161,1201520.33,578227.93
29,LHR-DEL,LHR,DEL,2023-02-21,727,ATR72,103,55,411651.29,624377.1
30,BLR-SIN,BLR,SIN,2024-05-12,552,B737,202,65,139909.89,164299.4
31,DXB-MAA,DXB,MAA,2024-04-10,352,B777,278,237,1888406.24,1180322.28
32,SIN-BLR,SIN,BLR,2023-07-14,363,B737,114,57,355442.25,131604.41
33,JFK-SIN,JFK,SIN,2024-05-29,603,B737,114,60,417563.87,139630.88
34,DEL-MAA,DEL,MAA,2024-02-18,182,ATR72,163,124,640042.63,756346.95
35,DXB-JFK,DXB,JFK,2023-11-20,327,B737,271,233,745433.88,663085.5
36,BLR-CCU,BLR,CCU,2024-04-13,383,A320,102,79,422501.07,437637.18
37,DEL-BLR,DEL,BLR,2023-08-07,578,A380,133,94,673608.63,831446.24
38,CCU-MAA,CCU,MAA,2023-06-11,508,ATR72,280,127,670781.53,1937836.6
39,LHR-BOM,LHR,BOM,2023-11-03,739,A320,134,83,150064.06,196125.49
40,LHR-BLR,LHR,BLR,2023-10-06,348,ATR72,153,141,479422.84,774559.78
41,MAA-JFK,MAA,JFK,2024-05-15,317,A320,123,104,707765.41,132020.56
42,CCU-BLR,CCU,BLR,2023-09-26,225,B777,241,230,918575.94,207248.47
43,DEL-HYD,DEL,HYD,2023-02-06,438,ATR72,241,87,348740.11,255300.68
44,CCU-BOM,CCU,BOM,2024-01-02,275,B737,270,76,264157.03,1153245.01
45,DXB-BLR,DXB,BLR,2023-08-31,226,B737,205,56,126309.38,1339023.35
46,DXB-HYD,DXB,HYD,2023-10-01,223,A320,197,59,413599.01,429280.54
47,SIN-CCU,SIN,CCU,2023-11-09,900,B737,157,53,297872.31,513466.78
48,MAA-DEL,MAA,DEL,2023-10-13,419,ATR72,202,187,620475.18,196166.91
49,MAA-BLR,MAA,BLR,2023-09-29,99,A320,252,161,550589.37,1430315.39
50,DXB-JFK,DXB,JFK,2023-04-29,454,ATR72,148,82,107477.87,518526.38
51,LHR-JFK,LHR,JFK,2023-07-21,432,B777,117,92,493312.08,574821.28
52,DEL-CCU,DEL,CCU,2024-06-03,376,B777,183,153,899710.21,775436.4
53,HYD-SIN,HYD,SIN,2024-01-24,753,B737,257,195,605796.58,1078683.16
54,BOM-CCU,BOM,CCU,2023-10-21,275,B777,248,205,1144502.57,913365.84
55,SIN-HYD,SIN,HYD,2024-06-07,544,B737,268,71,212041.84,1317459.53
56,JFK-CCU,JFK,CCU,2023-04-06,898,B737,272,129,331850.52,553412.72
57,BOM-DEL,BOM,DEL,2023-09-08,546,ATR72,296,68,284778.1,1863038.46
58,JFK-HYD,JFK,HYD,2024-01-29,566,B777,162,68,380283.61,135169.22
59,DEL-SIN,DEL,SIN,2023-08-13,240,ATR72,218,62,303914.11,1414452.47
60,DEL-LHR,DEL,LHR,2023-05-17,880,B777,270,185,1464320.73,1212787.18
